ENTRY;Ranking;REASON;
CVE-2013-5856;0;En virtud que es un sistema sólo para presentar ensayos clínicos y no representa un daño directo para el paciente;
CVE-2018-15152;0;En virtud que es una solución de gestión de prácticas médicas y registros médicos electrónicos de código abierto y no tiene que ver directamente con apoyo vital al paciente ;
CVE-2013-5811;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente ;
CVE-2013-5857;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente ;
CVE-2013-5837;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente ;
CVE-2018-2613;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente ;
CVE-2018-2644;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente;
CVE-2018-2642;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente;
CVE-2018-2643;0;En virtud que es una solución de gestión de registros médicos relacionados en su mayor parte con el oracle health sciences inform según http://www.oracle.com/us/industries/life-sciences/health-sciences-inform-ds-397109.pdf y no tiene que ver directamente con apoyo vital al paciente;
CVE-2006-2517;0;En virtud que es una solución de gestión de registros médicos y no tiene que ver directamente con apoyo vital al paciente;
CVE-2017-8942;0;En virtud que Healthy Diet & Grocery Food Scanner al atentar contra la confidencialidad no afecta o es un sistema de apoyo vital para un ser humano;
CVE-2010-3593;0;En virtud que oracle argus Safety es un sistema de farmacovigilancia que proporciona un completo fundamento para la gestión de casos e informes y no tiene nada que ver con el apoyo vital a un paciente;
CVE-2017-14006;1;En virtud que GE Xeleris medical imaging systems es empleado en el campo de la imagenología del paciente y en caso de ser necesario urgentemente podría comprometer su salud;
CVE-2011-3386;1;En virtud que  Medtronic Paradigm wireless insulin pump se emplea para suministrar insulina aun paciente y eso es de vital importancia en su salud;
CVE-2014-0348;0;En virtud que Artiva Healthcare y su solución HCx presenta un paquete completo para mejorar la productividad, aumentar las recuperaciones de efectivo y reducir el costo de la recaudación y no tiene que ver directamente con el apoyo vital a un paciente ;
CVE-2016-8355;1;En virtud que el sistema es utilizada por personal selecto para ingresar y administrar su biblioteca estandarizada de protocolos de bombas para el control del dolor en la red del hospital y compromete directamente la salud del paciente ;
CVE-2016-8358;1;En virtud que el sistema es utilizada por personal selecto para ingresar y administrar su biblioteca estandarizada de protocolos de bombas para el control del dolor en la red del hospital y compromete directamente la salud del paciente ;
CVE-2018-14786;1;En virtud que es un sistema que controla el suministro del medicamento que es entregado por jeringa, compromete críticamente la salud del paciente dependiendo que medicamento se coloque ;
CVE-2002-2445;1;Los sistemas Millennium MG, Millennium MC y Millennium Myosight Nuclear Medicine son dispositivos utilizados para tomar imágenes de los órganos o tejidos de un paciente para ayudar a diagnosticar o tratar una afección o enfermedad de salud. Estos sistemas están diseñados para usarse como dispositivos de diagnóstico por imágenes que permiten al usuario adquirir datos para imágenes tridimensionales de alta resolución, su afectación sobre un paciente puede ser alta ya que depende de un correcto diagnóstico;
CVE-2002-2446;1;Los sistemas Millennium MG, Millennium MC y Millennium Myosight Nuclear Medicine son dispositivos utilizados para tomar imágenes de los órganos o tejidos de un paciente para ayudar a diagnosticar o tratar una afección o enfermedad de salud. Estos sistemas están diseñados para usarse como dispositivos de diagnóstico por imágenes que permiten al usuario adquirir datos para imágenes tridimensionales de alta resolución, su afectación sobre un paciente puede ser alta ya que depende de un correcto diagnóstico;
CVE-2007-6756;1;El desfibrilador / monitor ZOLL serie M, serie E y serie R tiene una contraseña predeterminada para el modo de configuración del sistema, que permite a los atacantes físicamente próximos modificar la configuración del dispositivo y causar una denegación de servicio (efectos adversos para la salud humana) ;
CVE-2007-6757;1;Centricity Cardiology Data Management System (DMS) es un repositorio dinámico de datos cliente / servidor con una multitud de opciones de configuración para unidades de cardiología en hospitales. Se compone de varios módulos de cardiología clínica donde se registran y almacenan datos de procedimientos. De tal modo que puede comprometer el apoyo en procedimientos para el paciente;
CVE-2010-5306;1;GE Healthcare Optima CT680 es un instrumento para realizar pruebas al paciente y en caso de ser crítico puede comprometer el apoyo vital al paciente;
CVE-2012-6694;1;GE Healthcare Centricity PACS Workstation es utilizado en el campo de radiología y puede comprometer el la salud del paciente;
CVE-2015-3459;1;Hospira Abbott Lifecare PCA se encarga de entregar dosis de terapia en analgesia controlada para el paciente. Puede comprometer la vida del paciente si se excede la dosis o si falta por fallos y dependencias del sistema;
CVE-2015-3957;1;Hospira LifeCare PCA Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2017-12718;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero muy grave el suministrar una dosis no recomendada al paciente.;
CVE-2017-12720;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero muy grave el suministrar una dosis no recomendada al paciente.;
CVE-2017-12721;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero grave el suministrar una dosis no recomendada al paciente.;
CVE-2017-12722;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero grave quitar la disponibilidad al suministrar una dosis al paciente.;
CVE-2017-12723;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero leve atentar contra la confidencialidad al suministrar una dosis al paciente.;
CVE-2017-12724;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero muy grave afectar el principio CID al suministrar una dosis no recomendada al paciente.;
CVE-2017-12725;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero grave el suministrar una dosis no recomendada al paciente a pesar que se altere de manera baja los principios CID.;
CVE-2017-12726;1;Las bombas de infusión de jeringa se usan para administrar pequeñas dosis de medicamentos de una variedad de tamaños de jeringas en entornos de cuidados agudos, generalmente se usa en el campo neonatal y pediatría. Considero grave el suministrar una dosis no recomendada al paciente a pesar que se altere de manera baja los principios CID.;
CVE-2011-2309;1;Health Sciences - Oracle Clinical ayuda a llevar los ensayos clínicos de un hospital, al ser posible adulterar la integridad de los resultados, se puede comprometer el diagnóstico en un paciente.  ;
CVE-2011-2323;0;Oracle Thesaurus Management System permite gestionar procesos de la industria farmaceútica al no tratarse directamente de un sistema que comprometa el apoyo vital del paciente, no es de impacto grave.;
CVE-2011-5323;1;GE Healthcare Centricity es un sistema para Almacenamiento y Transferencia de Imágenes (PACS), Post Procesado 3D, herramientas de mamografía y acceso completo a imágenes médicas desde un único escritorio al comprometer CID puede complicar el diagnóstico oportuno de un paciente.;
CVE-2011-5324;1;GE Healthcare Centricity es un sistema para Almacenamiento y Transferencia de Imágenes (PACS), Post Procesado 3D, herramientas de mamografía y acceso completo a imágenes médicas desde un único escritorio al comprometer CID puede complicar el diagnóstico oportuno de un paciente.;
CVE-2012-6695;1;GE Healthcare Centricity es un sistema para Almacenamiento y Transferencia de Imágenes (PACS), Post Procesado 3D, herramientas de mamografía y acceso completo a imágenes médicas desde un único escritorio al comprometer CID puede complicar el diagnóstico oportuno de un paciente.;
CVE-2013-3061;0;SAP ERP es empleado para el apoyo en procesos hospitalarios, orientado a que los empleados trabajen mejor y aumenten su productividad. no afecta directamente al apoyo vital del paciente;
CVE-2013-7442;1;GE Healthcare Centricity es un sistema para Almacenamiento y Transferencia de Imágenes (PACS), Post Procesado 3D, herramientas de mamografía y acceso completo a imágenes médicas desde un único escritorio al comprometer CID puede complicar el diagnóstico oportuno de un paciente.;
CVE-2014-7232;1;GE Healthcare Discovery es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2015-2814;1;Permite llevar los registros médicos de un paciente de modo electrónico, resultados de laboratorio acumulativos, etc. No compromete directamente el soporte a un paciente ya que afecta a la integridad y disponibilidad.;
CVE-2016-8375;1;Carefusion Alaris PC proporciona una interfaz de usuario común para programar infusiones y monitoreo, lo que ayuda a reducir la complejidad en el punto de atención. Al tratarse de un sistema que permite infusiones y monitoreo y su conficendialidad se ve vulnerable se ha categorizado con ese nivel.;
CVE-2018-4845;1;RAPIDPoint 400 systems proporcionan resultados rápidos y esto significa decisiones más rápidas para un tratamiento más temprano. Al afectar en alto las propiedades CID, puede complicar la salud de un paciente o el diagnóstico temprano para un tratamiento.;
CVE-2018-4846;1;RAPIDPoint 400 systems proporcionan resultados rápidos y esto significa decisiones más rápidas para un tratamiento más temprano. Al afectar en alto las propiedades CID, puede complicar la salud de un paciente o el diagnóstico temprano para un tratamiento.;
CVE-2019-2430;0;En virtud que oracle argus Safety es un sistema de farmacovigilancia que proporciona un completo fundamento para la gestión de casos e informes y no tiene nada que ver con el apoyo vital a un paciente;
CVE-2019-2431;0;En virtud que oracle argus Safety es un sistema de farmacovigilancia que proporciona un completo fundamento para la gestión de casos e informes y no tiene nada que ver con el apoyo vital a un paciente;
CVE-2019-2432;0;En virtud que oracle argus Safety es un sistema de farmacovigilancia que proporciona un completo fundamento para la gestión de casos e informes y no tiene nada que ver con el apoyo vital a un paciente;
CVE-2001-1594;1;GE Healthcare eNTEGRA es un instrumento para realizar pruebas al paciente y en caso de ser crítico puede comprometer el apoyo vital al paciente;
CVE-2003-1603;1;GE Healthcare Discovery es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2004-2777;1;GE Healthcare Centricity Image Vault es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2005-2285;0;La vulnerabilidad WebEOC está relacionada a la obtención de información médica de un usuario y su historial clínico. No afecta a su soporte vital.;
CVE-2006-7253;1;GE Healthcare Infinia es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2009-5143;1;GE Healthcare Discovery es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2010-5307;1;GE Healthcare Optima es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2010-5308;1;GE Healthcare Optima es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2010-5309;1;GE Healthcare CADStream es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2010-5310;1;GE Healthcare Revolution es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2011-5322;1;GE Healthcare Centricity es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2012-6660;1;GE Healthcare Precision es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2012-6693;1;GE Healthcare Centricity es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2013-7395;1;ZOLL Defibrillator / Monitor X Series  es un sista de apoyo vital para el paciente y se atenta a la discponibilidad con ataques de denegación de servicio;
CVE-2013-7404;1;GE Healthcare Discovery es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2013-7405;1;GE Healthcare Centricity es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2014-5406;1;Hospira LifeCare PCA Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2014-5431;1;Baxter SIGMA Spectrum Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2014-5969;0;healthylifestyle application permite llevar el control de la nutricion relacionada a una persona. Al no ser un istema de apoyo vital para el paciente se la ha considerado baja;
CVE-2014-6713;0;The MedQuiz: Medical Chat and MCQs permite llevar un caht médico relacionado a una persona. Al no ser un istema de apoyo vital para el paciente se la ha considerado baja;
CVE-2014-6717;0;iTriage es una aplicación gratuita que lo coloca en el centro de su atención médica, en cualquier lugar y en cualquier momento. Al no ser un istema de apoyo vital para el paciente se la ha considerado baja;
CVE-2014-6739;0;The Well-Being Connect Mobile facilita el seguimiento y la administración de su salud y bienestar sobre la marcha. Esta aplicación extiende su plan de bienestar basado en la web a su dispositivo móvil. Al no ser un istema de apoyo vital para el paciente se la ha considerado baja;
CVE-2014-7233;1;GE Healthcare Precision es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2014-7335;0;The Liver Health - Hepatitis C es una aplicación centrada en el control y prevención de la enfermedad. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2014-7476;0;The Healthy Lunch Diet Recipes es una aplicación orientada a la elaboración de recetas saludables. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2014-7562;0;The Health Advocate SmartHelp application pone a expertos y recursos al alcance del usuario para un acceso rápido y conveniente en cualquier momento y lugar, accediendo a todos los programas Health Advocate. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2014-7646;0;The EMT-Paramedic Lite application es la guía más reciente y actual de NREMT diseñada y desarrollada desde cero por la práctica actual de EMT y paramédicos. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2014-7760;0;The Health assistance service application es un sistema para apoyo de salud de un usuario. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2014-8659;0;Sap Environment Health es empleado para el apoyo en procesos hospitalarios, orientado a que los empleados trabajen mejor y aumenten su productividad. no afecta directamente al apoyo vital del paciente;
CVE-2014-8664;0;EHS-SAF Sap Environment Health es empleado para el apoyo en procesos hospitalarios, orientado a que los empleados trabajen mejor y aumenten su productividad. no afecta directamente al apoyo vital del paciente.;
CVE-2014-9736;1;GE Healthcare Centricity es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2015-1011;1;Hospira LifeCare PCA Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2015-2579;0;En virtud que oracle argus Safety es un sistema de farmacovigilancia que proporciona un completo fundamento para la gestión de casos e informes. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-2898;0;Medicomp Medcin Engine es un sistema de registro electrónico apra salud. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-2899;0;Medicomp Medcin Engine es un sistema de registro electrónico apra salud. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-2900;0;Medicomp Medcin Engine es un sistema de registro electrónico apra salud. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-2901;0;Medicomp Medcin Engine es un sistema de registro electrónico apra salud. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-3955;1;Hospira LifeCare PCA Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2015-3958;1;Hospira LifeCare PCA Infusion System controla la infusión de medicacion analgésica del paciente, puede afectar la integridad del paciente al resibir una dosis médica no controlada.;
CVE-2015-4591;0;Health de eClinicalWorks ayudan a las prácticas médicas de todo tipo a brindar atención de manera más efectiva y eficiente. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-4592;0;Health de eClinicalWorks ayudan a las prácticas médicas de todo tipo a brindar atención de manera más efectiva y eficiente. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-4593;0;Health de eClinicalWorks ayudan a las prácticas médicas de todo tipo a brindar atención de manera más efectiva y eficiente. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-4594;0;Health de eClinicalWorks ayudan a las prácticas médicas de todo tipo a brindar atención de manera más efectiva y eficiente. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2015-6006;0;Medicomp Medcin Engine es un sistema de registro electrónico apra salud. Al no ser un sistemade apoyo vital al paciente se a ha considerado como baja.;
CVE-2017-10718;1;Shekar Endoscope es una cámara empleada para la endoscopía, Cualquier usuario malintencionado que se conecte al dispositivo puede cambiar el SSID y la contraseña predeterminados, negando así al propietario el acceso a su propio dispositivo. Esto afecta directamente al apoyo vital de un paciente ya que puede ocurrir durante una operación;
CVE-2017-10719;1;Shekar Endoscope es una cámara empleada para la endoscopía, Cualquier usuario malintencionado que se conecte al dispositivo puede cambiar el SSID y la contraseña predeterminados, negando así al propietario el acceso a su propio dispositivo. Esto afecta directamente al apoyo vital de un paciente ya que puede ocurrir durante una operación;
CVE-2017-10721;1;Shekar Endoscope es una cámara empleada para la endoscopía, Cualquier usuario malintencionado que se conecte al dispositivo puede cambiar el SSID y la contraseña predeterminados, negando así al propietario el acceso a su propio dispositivo. Esto afecta directamente al apoyo vital de un paciente ya que puede ocurrir durante una operación;
CVE-2017-10723;1;Shekar Endoscope es una cámara empleada para la endoscopía, Cualquier usuario malintencionado que se conecte al dispositivo puede cambiar el SSID y la contraseña predeterminados, negando así al propietario el acceso a su propio dispositivo. Esto afecta directamente al apoyo vital de un paciente ya que puede ocurrir durante una operación;
CVE-2017-10724;1;Shekar Endoscope es una cámara empleada para la endoscopía, Cualquier usuario malintencionado que se conecte al dispositivo puede cambiar el SSID y la contraseña predeterminados, negando así al propietario el acceso a su propio dispositivo. Esto afecta directamente al apoyo vital de un paciente ya que puede ocurrir durante una operación;
CVE-2017-14002;1;GE Healthcare Infinia es un sistema para adquisición de múltiples imágenes en milisegundos a diferentes niveles de energía. puede complicar el diagnóstico de un paciente y su soporte vital;
CVE-2017-14101;1;Un investigador de seguridad encontró una vulnerabilidad de entidad externa XML (XXE) en la solución de archivo del repositorio de imágenes de Conserus versión 2.1.1.105 de McKesson Medical Imaging Company, que ahora es una empresa de Change Healthcare. Al afectar al CID puede atentar al apoyo vital y diagnóstico de un paciente;
CVE-2017-16776;1;Conserus Workflow permite a un atacante no autenticado explotar la vulnerabilidad y tener acceso limitado a otras cuentas. Un atacante autenticado puede explotar la vulnerabilidad y obtener acceso reservado para usuarios con mayores privilegios.;
CVE-2017-5149;1;El transmisor Merlin @ home ™ permite una gestión eficiente de la atención remota de pacientes con dispositivos cardíacos implantados a través de transmisiones programadas y monitoreo diario de alertas. Puede complementar o reemplazar las visitas en la clínica con transmisiones remotas de pacientes. Al momento de necesitar un paciente asistencia cardiaca puede estar indisponible el sistema ocacionando su muerte;
CVE-2017-5906;0;La aplicación Everyday Health Diabetes in Check: Blood Glucose & Carb Tracker 3.4.2 para iOS no verifica los certificados X.509 de los servidores SSL, lo que permite a los atacantes intermedios falsificar servidores y obtener información confidencial a través de un certificado elaborado. Al no ser un sistema de apoyo vital al paciente, se ha considerado como bajo.;
